"Dates","AAPL","AMZN","ABT","ADBE","AMGN","AEP","AFL","AIG","ALL","APD","ADM","AKAM"
"14-10-2016",117.63,822.96,40.79,107.84,161.9,62.3,35.48,59.86,69.33,132.65,42.13,54.66
"17-10-2016",117.55,812.95,40.59,107.49,162.62,62.97,35.31,60.29,69.34,132.28,41.85,54.94
"18-10-2016",117.47,817.65,41.17,108.42,162.8,63.37,35.15,60.49,69.29,133.82,41.98,55.92
"19-10-2016",117.12,817.69,40.01,108.39,161.08,63.19,35.27,60.71,69.43,133.91,42.22,56.62
"20-10-2016",117.06,810.32,40.74,109.03,161.5,62.91,34.88,60.07,68.23,134.39,42.18,56.73
"21-10-2016",116.6,818.99,40.5,109.03,158.51,62.48,34.69,60,67.55,134.44,42.32,57.67
"24-10-2016",117.65,838.09,40.41,110.81,158.76,63.03,35.01,60.32,67.72,134.81,42.51,58.84
"25-10-2016",118.25,835.18,40.19,109.03,157.895,63.46,34.82,60.55,67.61,133.51,42.53,59.07
"26-10-2016",115.59,822.59,39.96,107.97,158.99,63.53,34.9,61.11,67.94,132.98,43.28,67.7
"27-10-2016",114.48,818.36,40.29,107.07,160.57,63.19,35.105,61.42,67.59,133.4,43.08,68.81
"28-10-2016",113.72,776.32,39.54,107.6,145.18,63.41,34.255,61.28,67.53,133.81,43.59,69.91
"31-10-2016",113.54,789.82,39.24,107.51,141.16,64.84,34.435,61.7,67.9,133.42,43.57,69.47
"01-11-2016",111.49,785.41,39.05,106.87,140.76,63.38,34.195,60.68,67.21,132.26,46.75,68.1
"02-11-2016",111.59,765.56,38.7,105.89,138.7,62.61,34.195,60.55,67.34,133.55,47.26,67.31
"03-11-2016",109.83,767.03,38.38,107.17,135.22,62.92,34.42,58.15,68.09,133.09,47.43,66.52
"04-11-2016",108.84,755.05,39.09,106.2,135.4,62.4,34.28,57.38,66.72,133.37,46.92,65.81
"07-11-2016",110.41,784.93,39.86,108.66,139.21,63.24,34.795,59.28,66.86,137.08,47.05,66.52
"08-11-2016",111.06,787.75,39.83,108.39,138.45,63.23,35.045,59.5,67.58,136.93,47.72,66.37
"09-11-2016",110.88,771.88,40.07,107.86,146.42,61.25,35.8,60.93,68.17,137.22,46.28,66.53
